software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
Futurex Vectera Plus,,,,,not_found,,,,,,,
G+D Quantum-Safe SIM Platform,,,,,not_found,,,,,,,
Galileo AI Observability and Eval Platform,,,,,not_found,,,,,,,
Garantir GaraTrust,,,,,not_found,,,,,,,
GCP Secret Manager,,,,,not_found,,,,,,,
General Dynamics Mission,,,,,not_found,,,,,,,
Genua Quantum-Resistant VPN,,,,,not_found,,,,,,,
Giesecke+Devrient PQC ID Card,,,,,not_found,,,,,,,
GitHub Actions,cpe:2.3:a:github:runner:2.298.2:*:*:*:*:*:*:*,github,runner,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=github%20actions,2026-08-07,,,,,
GitHub Copilot Security,,,,,not_found,,,,,,,
GitHub SSH PQC,,,,,not_found,,,,,,,
GitLab CI/CD,,,,,not_found,,,,,,,
GlobalSign Atlas CLM,,,,,not_found,,,,,,,
GlobalSign Digital Signing Service,,,,,not_found,,,,,,,
Gmail / Google Workspace,,,,,not_found,,,,,,,
GnuPG,cpe:2.3:a:gnupg:gnupg:1.4.3:*:*:*:*:*:*:*,gnupg,gnupg,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=gnupg%20gnupg,2026-08-07,,,,,
GnuTLS,cpe:2.3:a:gnu:gnutls:-:*:*:*:*:*:*:*,gnu,gnutls,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=gnu%20gnutls,2026-08-07,,,,,
Go stdlib crypto/mlkem,,,,,not_found,,,,,,,
go-jose v4,,,,,not_found,,,,,,,
Google ALTS,,,,,not_found,,,,,,,
Google Chrome,cpe:2.3:a:google:chrome:0.2.149.29:*:*:*:*:*:*:*,google,chrome,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=google%20chrome,2026-08-07,,,,,
Google Cloud CDN,,,,,not_found,,,,,,,
Google Cloud HSM,,,,,not_found,,,,,,,
Google Cloud KMS,,,,,not_found,,,,,,,
Google Cloud KMS (Cloud Gateway),,,,,not_found,,,,,,,
Google Cloud Platform (GCP),,,,,not_found,,,,,,,
Google GKE,,,,,not_found,,,,,,,
Google OpenTitan,,,,,not_found,,,,,,,
Google Tink,cpe:2.3:a:google:tink:1.0.0:*:*:*:*:*:*:*,google,tink,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=google%20tink,2026-08-07,,,,,
GPG Code Signing,,,,,not_found,,,,,,,
HAETAE Reference Implementation,,,,,not_found,,,,,,,
HAProxy,cpe:2.3:a:haproxy:haproxy:1.4.20:*:*:*:*:*:*:*,haproxy,haproxy,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=haproxy%20haproxy,2026-08-07,,,,,
hash-sigs,,,,,not_found,,,,,,,
HashiCorp Boundary,cpe:2.3:a:hashicorp:boundary:0.1.8:*:*:*:*:*:*:*,hashicorp,boundary,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=hashicorp%20boundary,2026-08-07,,,,,
HashiCorp Consul Connect (Service Mesh),,,,,not_found,,,,,,,
HashiCorp Vault,cpe:2.3:a:hashicorp:vault:0.1.0:*:*:*:*:*:*:*,hashicorp,vault,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=hashicorp%20vault,2026-08-07,,,,,
HashiCorp Vault Transit,,,,,not_found,,,,,,,
HAWK Reference Implementation,,,,,not_found,,,,,,,
hbs-lms,,,,,not_found,,,,,,,
Hex Trust Institutional Custody,,,,,not_found,,,,,,,
HID Global Cryptographic Module,,,,,not_found,,,,,,,
HiddenLayer Model Scanner,,,,,not_found,,,,,,,
Higher Ground CipherLinq,,,,,not_found,,,,,,,
Hikvision FIPS Provider,,,,,not_found,,,,,,,
HIPAA (Quantum Security Rule),,,,,not_found,,2026-04-01,2026-07-11,not in regen,hipaa-quantum-security-rule,cpe_not_found_pending_nvd,'HIPAA (Quantum Security Rule)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
HiPKI SafGuard 2000 PQC Library,,,,,not_found,,,,,,,
Hitachi DoMobile,,,,,not_found,,,,,,,
HNDL Simulator (hndl-dev),,,,,not_found,,,,,,,
HP Endpoint Security Controller Cryptographic Library,,,,,not_found,,,,,,,
