product_id,software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
apple-codesign,Apple codesign,ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372
apple-codesign,Apple codesign,ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361
apple-codesign,Apple codesign,FIPS 140-3,5101,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5101
apple-codesign,Apple codesign,FIPS 140-3,5108,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5108
apple-codesign,Apple codesign,FIPS 140-3,5184,Apple Inc.,"Apple corecrypto Module 18.3 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5184
apple-codesign,Apple codesign,FIPS 140-3,5202,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5202
apple-codesign,Apple codesign,FIPS 140-3,5201,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5201
arista-eos-extensible-operating-system,Arista EOS (Extensible Operating System),FIPS 140-3,4592,"Arista Networks, Inc.",Arista EOS Crypto Module,Falcon,FIPS 140-3 L3,Active,2023-09-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4592
arista-eos-extensible-operating-system,Arista EOS (Extensible Operating System),FIPS 140-3,5001,"Arista Networks, Inc.",Arista Crypto Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-04-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5001
azure-dedicated-hsm-marvell-liquidsecurity,Azure Dedicated HSM (Marvell LiquidSecurity),ACVP,A6877,"Marvell Semiconductor, Inc.",LS2-OQS-Crypto,"ML-DSA, ML-KEM",,Active,2025-05-01,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19612
azure-dedicated-hsm-marvell-liquidsecurity,Azure Dedicated HSM (Marvell LiquidSecurity),Common Criteria,cc-marvell-ls2-hsm-hardware-version--cn9310410-03-c-firmware-version--marvell-ls2-fw-10-24-0780-bootloader-version--marvell-ls2-uboot-10-24-0702-r01-sb-or-marvell-ls2-uboot-10-24-0702-r02-sb-psm2,"Marvell Semiconductor, Inc (Scheme: NL)",Marvell LS2 HSM Hardware version: CN9310410-03 C Firmware version: MARVELL-LS2-FW-10.24-0780 Bootloader version: MARVELL-LS2-UBOOT-10.24-0702-R01-SB or MARVELL-LS2-UBOOT-10.24-0702-R02-SB,"ML-KEM, ML-DSA","EAL4+,ALC_FLR.3,AVA_VAN.5",Active,2026-02-23,https://www.commoncriteriaportal.org/files/epfiles/NSCIB-CC-2400151-01-ST.pdf
