software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
Google Workspace Identity,FIPS 140-3,4444,"Google, LLC.",BoringCrypto SoC,ML-KEM,FIPS 140-3 L3,Active,2023-02-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4444
Google Workspace Identity,FIPS 140-3,5104,"Google, LLC",BoringCrypto,ML-KEM,FIPS 140-3 L3,Active,2025-12-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5104
IBM Cloud HSM (Utimaco),ACVP,A7400,Utimaco IS GmbH,Lattice Module - ML,"ML-DSA, ML-KEM",,Active,2025-09-17,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20181
IBM Cloud HSM (Utimaco),ACVP,A7401,Utimaco IS GmbH,Stateful hash based Module - HBS,LMS,,Active,2025-09-17,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20182
IBM Cloud HSM (Utimaco),Common Criteria,cc-ibm-z-os-version-2-release-5-uov5,IBM Corporation (Scheme: IT),IBM z/OS Version 2 Release 5,HSS,None,Active,2024-10-21,https://www.commoncriteriaportal.org/files/epfiles/st_zos_v2r5_v2.17.pdf
IBM Cloud HSM (Utimaco),Common Criteria,cc-ibm-z-os-version-2-release-5-ide2,IBM Corporation (Scheme: IT),IBM z/OS Version 2 Release 5,HSS,"EAL4+,ALC_FLR.3",Active,2025-09-29,https://www.commoncriteriaportal.org/files/epfiles/st_zos_v2r5_eal4+_2.17.pdf
IBM Cloud HSM (Utimaco),FIPS 140-3,3886,Utimaco IS GmbH,CryptoServer CSe-Series,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2021-04-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3886
IBM Cloud HSM (Utimaco),FIPS 140-3,3925,Utimaco IS GmbH,CryptoServer Se-Series Gen2,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2021-05-10,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3925
IBM Guardium Key Lifecycle Manager,Common Criteria,cc-ibm-z-os-version-2-release-5-uov5,IBM Corporation (Scheme: IT),IBM z/OS Version 2 Release 5,HSS,None,Active,2024-10-21,https://www.commoncriteriaportal.org/files/epfiles/st_zos_v2r5_v2.17.pdf
IBM Guardium Key Lifecycle Manager,Common Criteria,cc-ibm-z-os-version-2-release-5-ide2,IBM Corporation (Scheme: IT),IBM z/OS Version 2 Release 5,HSS,"EAL4+,ALC_FLR.3",Active,2025-09-29,https://www.commoncriteriaportal.org/files/epfiles/st_zos_v2r5_eal4+_2.17.pdf
IBM Guardium Key Lifecycle Manager,FIPS 140-3,2691,IBM® Corporation,"IBM® z/OS® Version 2 Release 1 Security Server RACF® Signature Verification Module [1], IBM® z/OS® Version 2 Release 2 Security Server RACF® Signature Verification Module [2], IBM® z/OS® Version 2 Release 3 Security Server RACF® Signature Verification Module [3] and IBM® z/OS® Version 2 Release 4 Security Server RACF® Signature Verification Module [4][5]",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2016-07-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/2691
IBM Guardium Key Lifecycle Manager,FIPS 140-3,4079,IBM Corporation,IBM 4769-001 Cryptographic Coprocessor Security Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2021-11-29,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4079
IBM Guardium Key Lifecycle Manager,FIPS 140-3,4404,IBM Corporation,IBM Cloud Object Storage System’s™ FIPS Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-01-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4404
IBM Guardium Key Lifecycle Manager,FIPS 140-3,4432,IBM Corporation,IBM® Security QRadar® SIEM Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-02-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4432
