software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date
NXP i.MX 94 PQC Processor,,,,,,not_found,,2026-04-01
NXP JCOP 4.5 P71D600,,,,,,not_found,,2026-04-01
NXP OrangeBox 2.0 PQC,,,,,,not_found,,2026-04-01
NXP S32K5 Automotive PQC MCU,,,,,,not_found,,2026-04-01
NXP SE051 Secure Element,,,,,,not_found,,2026-04-01
NZISM New Zealand PQC Guidance,,,,,,not_found,,2026-04-01
OAuth 2.0 / OpenID Connect (OIDC),,,,,,not_found,,2026-04-01
Okta Integration Network,,,,,,not_found,,2026-04-01
Okta Workforce Identity,,,,,,not_found,,2026-04-01
Open Quantum Safe liboqs,,,,,,not_found,,2026-04-01
OpenSSH,pkg:github/openssh/openssh-portable,github,openssh,openssh-portable,exact,matched,https://github.com/openssh/openssh-portable,2026-04-01
OpenSSL,pkg:github/openssl/openssl,github,openssl,openssl,manual,matched,https://github.com/openssl/openssl,2026-04-01
openSUSE Leap,,,,,,not_found,,2026-04-01
OpenText Content Cloud,,,,,,not_found,,2026-04-01
OpenVPN,pkg:github/OpenVPN/openvpn,github,OpenVPN,openvpn,exact,matched,https://github.com/OpenVPN/openvpn,2026-04-01
OpenWrt,pkg:github/openwrt/openwrt,github,openwrt,openwrt,exact,matched,https://github.com/openwrt/openwrt,2026-04-01
Opera Browser PQC,,,,,,not_found,,2026-04-01
OPNsense,pkg:github/opnsense/core,github,opnsense,core,exact,matched,https://github.com/opnsense/core,2026-04-01
"OQS Docker Images (nginx, curl, haproxy)",,,,,,not_found,,2026-04-01
OQS-OpenSSL Provider,,,,,,not_found,,2026-04-01
oqs-provider,pkg:github/open-quantum-safe/oqs-provider,github,open-quantum-safe,oqs-provider,exact,matched,https://github.com/open-quantum-safe/oqs-provider,2026-04-01
Oracle AI Database 26ai,,,,,,not_found,,2026-04-01
Oracle Key Vault,,,,,,not_found,,2026-04-01
Oracle Linux 9.7,,,,,,not_found,,2026-04-01
Orange Business PQC WAN,,,,,,not_found,,2026-04-01
OVHcloud QRNG SSL,,,,,,not_found,,2026-04-01
PacketLight PQC Optical Encryption,,,,,,not_found,,2026-04-01
Palo Alto Cortex XDR,,,,,,not_found,,2026-04-01
Palo Alto GlobalProtect,,,,,,not_found,,2026-04-01
Palo Alto PAN-OS,,,,,,not_found,,2026-04-01
Palo Alto Prisma SASE,,,,,,not_found,,2026-04-01
Palo Alto Quantum-Safe Security,,,,,,not_found,,2026-04-01
Paradym (Animo Solutions),,,,,,not_found,,2026-04-01
Paramiko (Python SSH),pkg:github/paramiko/paramiko,github,paramiko,paramiko,exact,matched,https://github.com/paramiko/paramiko,2026-04-01
Patero PQC Gateway,,,,,,not_found,,2026-04-01
Payara Server,pkg:github/payara/Payara,github,payara,Payara,exact,matched,https://github.com/payara/Payara,2026-04-01
pfSense Community Edition,pkg:github/pfsense/pfsense,github,pfsense,pfsense,exact,matched,https://github.com/pfsense/pfsense,2026-04-01
Ping Identity PingFederate,,,,,,not_found,,2026-04-01
PIONIER-Q Poland QCI,,,,,,not_found,,2026-04-01
Polkadot/Substrate,pkg:github/nicola-mazzocca/BPQS-node,github,nicola-mazzocca,BPQS-node,exact,matched,https://github.com/nicola-mazzocca/BPQS-node,2026-04-01
Postfix 3.10 PQC,,,,,,not_found,,2026-04-01
PostgreSQL,pkg:github/postgres/postgres,github,postgres,postgres,exact,matched,https://github.com/postgres/postgres,2026-04-01
PostgreSQL pgcrypto,,,,,,not_found,,2026-04-01
PowerDNS PQC DNSSEC,,,,,,not_found,,2026-04-01
PQ Code Package,,,,,,not_found,,2026-04-01
pqc-flow,pkg:github/CipherIQ/pqc-flow,github,CipherIQ,pqc-flow,exact,matched,https://github.com/CipherIQ/pqc-flow,2026-04-01
PQC-LEO,pkg:github/crt26/pqc-evaluation-tools,github,crt26,pqc-evaluation-tools,exact,matched,https://github.com/crt26/pqc-evaluation-tools,2026-04-01
pQCee CNG Provider,,,,,,not_found,,2026-04-01
PQChat Quantum-Safe Messaging,,,,,,not_found,,2026-04-01
PQClean,pkg:github/PQClean/PQClean,github,PQClean,PQClean,exact,matched,https://github.com/PQClean/PQClean,2026-04-01
pqcrypto,pkg:cargo/pqcrypto,cargo,,pqcrypto,exact,matched,https://crates.io/crates/pqcrypto,2026-04-01
pqcrypto Python Library,,,,,,not_found,,2026-04-01
PQCryptoLib-Core,,,,,,not_found,,2026-04-01
pqcscan,pkg:github/anvilsecure/pqcscan,github,anvilsecure,pqcscan,exact,matched,https://github.com/anvilsecure/pqcscan,2026-04-01
pqm4,pkg:github/mupq/pqm4,github,mupq,pqm4,exact,matched,https://github.com/mupq/pqm4,2026-04-01
PQMicroLib-Core,,,,,,not_found,,2026-04-01
PQSecure Technologies HW IP,,,,,,not_found,,2026-04-01
PQShield Core,,,,,,not_found,,2026-04-01
PQShield PQE2E Messaging SDK,,,,,,not_found,,2026-04-01
PQShield PQSDK,,,,,,not_found,,2026-04-01
Procivis One,pkg:github/procivis/one-open-core,github,procivis,one-open-core,exact,matched,https://github.com/procivis/one-open-core,2026-04-01
Project Eleven Solana PQC,,,,,,not_found,,2026-04-01
Proofpoint Aegis,,,,,,not_found,,2026-04-01
Protect AI Guardian,,,,,,not_found,,2026-04-01
Proton Mail,,,,,,not_found,,2026-04-01
Proton Mail PQC OpenPGP,,,,,,not_found,,2026-04-01
